dir,system,species,mtime,n_blocks,atoms_per_block,cells_per_block,g_band_eff,g_band_src,ne,wmax,fgrid,aux_dw,eta,eta_ir_floor,interaction_cutoff,lowmask,cmsub,kk_percent,arms,ballistic,outcome,iterations,last_residual,size_gb,bulk_gb,read_by_code,mentioned_in_docs,verdict,reasons
mos2f3-cmsub,mos2_film,Mo+S,2026-08-05,3,6,1,2,date+clamp,267,16.0,file,0.02,0.0,0.0,10.0,,1,,1,,crash,,,0.0029,,,phonon/docs/run_audit_2026-08.md,superseded,gband=2;cells_per_block=1;h6-cutoff=10;crash
mos2f3-cmsub2,mos2_film,Mo+S,2026-08-05,3,6,1,2,date+clamp,267,16.0,file,0.02,0.0,0.0,10.0,,1,,1,,timeout,24,0.94959,0.6017,,,phonon/docs/run_audit_2026-08.md,superseded,gband=2;cells_per_block=1;h6-cutoff=10;timeout
mos2f3-cmsub3,mos2_film,Mo+S,2026-08-05,3,6,1,2,date+clamp,267,16.0,file,0.02,0.0,0.0,10.0,,1,,1,,timeout,11,0.35115,0.6016,,,phonon/docs/run_audit_2026-08.md,superseded,gband=2;cells_per_block=1;h6-cutoff=10;timeout
mos2f3-g1000,mos2_film,Mo+S,2026-08-03,3,,,,unknown,121,16.0,file,0.02,0.0,0.0,10.0,,,,,,no-log,,,0.0,,,,analysis-only,no-solver-log
mos2f3-g15001,mos2_film,Mo+S,2026-08-07,3,,,,unknown,121,16.0,file,0.01,0.0,0.0,10.0,,,,,,no-log,,,0.0001,,,,analysis-only,no-solver-log
mos2f3-g15001-lm075,mos2_film,Mo+S,2026-08-07,3,,,2,date+clamp,15001,16.0,file,0.01,0.0,0.0,10.0,0.75,,,1,,oom+timeout,5,0.99648,33.7982,,,,superseded,gband=2;cells_per_block=unknown;h6-cutoff=10;oom;timeout
mos2f3-g15001-lm075b,mos2_film,Mo+S,2026-08-08,3,,,2,date+clamp,15001,16.0,file,0.01,0.0,0.0,10.0,0.75,,,1,,timeout,10,0.99484,33.7982,,,,superseded,gband=2;cells_per_block=unknown;h6-cutoff=10;timeout
mos2f3-g2001,mos2_film,Mo+S,2026-08-03,3,,,,unknown,121,16.0,file,0.02,0.0,0.0,10.0,,,,,,no-log,,,0.0,,,,analysis-only,no-solver-log
mos2f3-g4001,mos2_film,Mo+S,2026-08-07,3,,,,unknown,121,16.0,file,0.01,0.0,0.0,10.0,,,,,,no-log,,,0.0001,,,,analysis-only,no-solver-log
mos2f3-g4001-lm075and,mos2_film,Mo+S,2026-08-08,3,,,2,date+clamp,4001,16.0,file,0.01,0.0,0.0,10.0,0.75,,,1,,timeout,83,1.0,9.0148,,,,superseded,gband=2;cells_per_block=unknown;h6-cutoff=10;timeout
mos2f3-lm03,mos2_film,Mo+S,2026-08-04,3,6,1,2,date+clamp,267,16.0,file,0.02,0.0,0.0,10.0,0.3,,,1,,timeout,28,1.0,0.0001,,phonon/scripts/figures/_extract_mos2_spiral.py,phonon/docs/observations_2026-08-15.md,keep-referenced,gband=2;cells_per_block=1;h6-cutoff=10;timeout
mos2f3-lm15,mos2_film,Mo+S,2026-08-04,3,6,1,2,date+clamp,267,16.0,file,0.02,0.0,0.0,10.0,1.5,,,1,,timeout,28,1.0,0.0001,,phonon/scripts/figures/_extract_mos2_spiral.py,phonon/docs/observations_2026-08-15.md,keep-referenced,gband=2;cells_per_block=1;h6-cutoff=10;timeout
mos2f3-u121,mos2_film,Mo+S,2026-08-03,3,6,1,2,date+clamp,121,16.0,window,0.02,0.0,0.0,10.0,,,,1,,timeout,55,1.0,0.0002,,phonon/scripts/figures/_extract_mos2_spiral.py,,keep-referenced,gband=2;cells_per_block=1;h6-cutoff=10;timeout
mos2f3-u2001,mos2_film,Mo+S,2026-08-04,3,,,2,date+clamp,2001,16.0,file,0.02,0.0,0.0,10.0,,,,1,,incomplete,3,6495.0,9.0587,,phonon/scripts/figures/_extract_mos2_spiral.py,,keep-referenced,gband=2;cells_per_block=unknown;h6-cutoff=10
mos2f3-u2001-cmsub,mos2_film,Mo+S,2026-08-05,3,,,2,date+clamp,2001,16.0,file,0.02,0.0,0.0,10.0,,1,,1,,crash,,,0.0217,,,phonon/docs/run_audit_2026-08.md,superseded,gband=2;cells_per_block=unknown;h6-cutoff=10;crash
mos2f3-u2001-cmsub2,mos2_film,Mo+S,2026-08-05,3,,,2,date+clamp,2001,16.0,file,0.02,0.0,0.0,10.0,,1,,1,,timeout,39,42.519,4.5085,,,phonon/docs/run_audit_2026-08.md,superseded,gband=2;cells_per_block=unknown;h6-cutoff=10;timeout
mos2f3-u2001-cmsub3,mos2_film,Mo+S,2026-08-05,3,,,2,date+clamp,2001,16.0,file,0.02,0.0,0.0,10.0,,1,,1,,timeout,12,1.9933,4.5084,,,phonon/docs/run_audit_2026-08.md,superseded,gband=2;cells_per_block=unknown;h6-cutoff=10;timeout
mos2f3-u2001-lm05and,mos2_film,Mo+S,2026-08-07,3,,,2,date+clamp,2001,16.0,file,0.02,0.0,0.0,10.0,0.5,,,1,,timeout,101,0.17299,4.5087,,,,superseded,gband=2;cells_per_block=unknown;h6-cutoff=10;timeout
mos2f3-u2001-lm10and,mos2_film,Mo+S,2026-08-07,3,,,2,date+clamp,2001,16.0,file,0.02,0.0,0.0,10.0,1.0,,,1,,timeout,102,0.20932,4.5087,,,,superseded,gband=2;cells_per_block=unknown;h6-cutoff=10;timeout
mos2f3-u2001-lm15,mos2_film,Mo+S,2026-08-04,3,,,2,date+clamp,2001,16.0,file,0.02,0.0,0.0,10.0,1.5,,,1,,timeout,28,0.9334,0.0001,,phonon/scripts/figures/_extract_mos2_spiral.py,phonon/docs/observations_2026-08-15.md,keep-referenced,gband=2;cells_per_block=unknown;h6-cutoff=10;timeout
mos2f3-u2001-lm15and,mos2_film,Mo+S,2026-08-07,3,,,2,date+clamp,2001,16.0,file,0.02,0.0,0.0,10.0,1.5,,,1,,timeout,52,0.068439,4.5086,,,,superseded,gband=2;cells_per_block=unknown;h6-cutoff=10;timeout
mos2f3-u2001-lm15and2,mos2_film,Mo+S,2026-08-07,3,,,2,date+clamp,2001,16.0,file,0.02,0.0,0.0,10.0,1.5,,,1,,timeout,103,0.055019,4.5087,,,,superseded,gband=2;cells_per_block=unknown;h6-cutoff=10;timeout
mos2f3-u2001-lm15b,mos2_film,Mo+S,2026-08-04,3,,,2,date+clamp,2001,16.0,file,0.02,0.0,0.0,10.0,1.5,,,1,,timeout,64,0.9999,4.5086,,phonon/scripts/figures/_extract_mos2_spiral.py,phonon/docs/observations_2026-08-15.md,keep-referenced,gband=2;cells_per_block=unknown;h6-cutoff=10;timeout
mos2f3-u2001-lm30and,mos2_film,Mo+S,2026-08-07,3,,,2,date+clamp,2001,16.0,file,0.02,0.0,0.0,10.0,3.0,,,1,,timeout,55,0.050809,4.5086,,,,superseded,gband=2;cells_per_block=unknown;h6-cutoff=10;timeout
mos2f3-u2001-lm30and2,mos2_film,Mo+S,2026-08-07,3,,,2,date+clamp,2001,16.0,file,0.02,0.0,0.0,10.0,3.0,,,1,,timeout,1,0.090508,0.0,,,,superseded,gband=2;cells_per_block=unknown;h6-cutoff=10;timeout
mos2f3-u2001-noaux,mos2_film,Mo+S,2026-08-04,3,,,2,date+clamp,2001,16.0,file,0.02,0.0,0.0,10.0,,,,1,,incomplete,3,46110.0,9.0587,,phonon/scripts/figures/_extract_mos2_spiral.py,,keep-referenced,gband=2;cells_per_block=unknown;h6-cutoff=10
mos2f3-xs0,mos2_film,Mo+S,2026-08-03,3,6,1,2,date+clamp,264,16.0,file,0.02,0.0,0.0,10.0,,,,1,,incomplete,37,1042.0,1.1954,,phonon/scripts/figures/_extract_mos2_spiral.py,,keep-referenced,gband=2;cells_per_block=1;h6-cutoff=10
