dir,system,species,mtime,n_blocks,atoms_per_block,cells_per_block,g_band_eff,g_band_src,ne,wmax,fgrid,aux_dw,eta,eta_ir_floor,interaction_cutoff,lowmask,cmsub,kk_percent,arms,ballistic,outcome,iterations,last_residual,size_gb,bulk_gb,read_by_code,mentioned_in_docs,verdict,reasons
mos2-aux-l3-uniform,mos2_film,Mo+S,2026-08-28,3,6,1,2,date+clamp,161,16,window,0.02,0.0,0.0,10.0,,,,1,,incomplete,1,68.55,0.0123,0.0,phonon/studies/_mixed_structure_review.py,,keep-referenced,gband=2;cells_per_block=1;h6-cutoff=10
mos2L6n4scba,mos2_film,Mo+S,2026-08-09,2,18,3,1,date+clamp,4001,16.0,window,0.01,0.0,0.0,75.0,,,,1,,crash+oom,,,0.0908,0.0,phonon/studies/_memory_model.py,phonon/docs/observations_2026-08-15.md,keep-referenced,gband=1;crash;oom
mos2_film_reap,mos2_film,,2026-08-01,,,,,unknown,,,,,,,,,,,,,no-log,,,0.008,0.0,phonon/scripts/figures/r1_interlayer_modes.py;phonon/studies/_interlayer_modes.py;phonon/studies/_mos2_film_reap.py;phonon/studies/engine/build_inputs.py,phonon/docs/mos2_kappa_z_ladder.md,keep-referenced,no-solver-log
mos2_film_reap_ls,mos2_film,,2026-08-01,,,,,unknown,,,,,,,,,,,,,no-log,,,0.0107,0.0,phonon/scripts/figures/r1_interlayer_modes.py;phonon/studies/_interlayer_modes.py,phonon/docs/mos2_kappa_z_ladder.md,keep-referenced,no-solver-log
mos2_film_reap_scp,mos2_film,,2026-08-02,,,,,unknown,,,,,,,,,,,,,no-log,,,0.0111,0.0,phonon/studies/_mos2_fc4_reap.py,phonon/docs/mos2_kappa_z_ladder.md,keep-referenced,no-solver-log
mos2_modeaudit,mos2_film,,2026-08-26,,,,3,date,,,,,,,,,,,,,no-solver-log,,,0.0043,0.0,,,no-log-outputs,no-solver-log
mos2_reap/fa,mos2_film,,2026-08-01,,,,,unknown,,,,,,,,,,,,,no-log,,,0.0006,0.0,phonon/studies/_mos2_film_reap.py,,keep-referenced,no-solver-log
mos2_reap_ls,mos2_film,,2026-08-01,,,,,unknown,,,,,,,,,,,,,no-log,,,0.0002,0.0,,,analysis-only,no-solver-log
mos2_refit/data,mos2_film,,2026-07-31,,,,,unknown,,,,,,,,,,,,,no-log,,,0.0214,0.0,phonon/studies/_mos2_fc3_refit.py,phonon/docs/mos2_cross_gap_reality_check.md;phonon/docs/mos2_kappa_z_not_converged.md,keep-referenced,no-solver-log
mos2_refit/fa_ls,mos2_film,,2026-08-01,,,,,unknown,,,,,,,,,,,,,no-log,,,0.001,0.0,phonon/studies/_mos2_fc3_refit.py,phonon/docs/mos2_cross_gap_reality_check.md;phonon/docs/mos2_kappa_z_not_converged.md,keep-referenced,no-solver-log
